userName,score,content,at,sentiment
Anca,5,mantap,2025-05-04 07:45:47,positive
Nurul Ikhsan,1,"mau ganti lagu tapi terbatas, klo mau ganti harus premium, udah bagus yang dulu, sekarang apa apa harus premium, hadeeeh",2025-05-04 07:42:27,negative
Zain malik Kosasih,3,Gaada fitur puter berulang kali💔,2025-05-04 07:37:13,neutral
Wilia Putri,5,"I was able to discover music because of you, Spotify",2025-05-04 07:26:21,positive
MILKU,5,good,2025-05-04 07:21:46,positive
Bagus Wahyoni,5,baik dan bagus,2025-05-04 07:01:29,positive
Tiann,2,kok saya gabisa instal sportify ya,2025-05-04 07:00:47,negative
Sri Indrawati,5,baik,2025-05-04 06:56:47,positive
Bayu Pratama,5,"terbaik ,the best",2025-05-04 06:37:09,positive
Putri Butet,5,bgus,2025-05-04 06:32:14,positive
Asteriaaa “Ur Star”,5,"kadang suka melenceng dari lagu yg ada di playlist, misal kita mutar lagu di playlist 1 trs lagu berikutnya bisa aja lagu yg ga ada di playlist itu. why?",2025-05-04 06:31:16,positive
Rafly Ramos4,5,tolong buat murah yah premium nya,2025-05-04 06:23:55,positive
Stella,5,good,2025-05-04 06:23:30,positive
Bagus Aji,4,ok,2025-05-04 06:22:26,positive
Halwamei 123,5,lagu nya bagus tapi lagu kasih aba aba tapi gak papa,2025-05-04 06:20:56,positive
Sutatik,5,music nya banyak varian dan bisa di dengar di mana aja bisa premium jg pokoknya bagus banget deh👍,2025-05-04 06:20:56,positive
Hanan Aisyah,5,ini bagus dan lengkap lagu nya,2025-05-04 06:18:37,positive
Andi New,5,setiap lagu disini bisa buat mode sad saya aktif,2025-05-04 06:13:39,positive
Adi Adi,5,bikin rileg main gem😋,2025-05-04 06:12:01,positive
Cristian Van Ramos,4,"sebenarnya mau ngasih bintang 5, tapi menurut saya tahun ke tahun kok makin banyak iklan ya? klo bisa toleran dikit untuk pengguna free ya...",2025-05-04 06:08:41,positive
sunthu tham,5,mantap,2025-05-04 05:55:14,positive
Ali Imannudin,5,bagus,2025-05-04 05:49:31,positive
Deevo Haziq09,4,mantapp,2025-05-04 05:45:51,positive
Raisa Phonesel,5,bagus,2025-05-04 05:45:31,positive
Asya Ardenia Rahdian,5,bagus sekali,2025-05-04 05:34:56,positive
John Tarukponno,5,Sangat memberkati. Puji Tuhan,2025-05-04 05:33:08,positive
CCTV keliling,5,ok,2025-05-04 05:28:51,positive
Turisno Catur,4,𝙖𝙠𝙪 𝙗𝙖𝙧𝙪 𝙙𝙤𝙬𝙡𝙤𝙖𝙙 𝙣𝙞𝙝,2025-05-04 05:19:11,positive
Supri Supriadza,4,ok,2025-05-04 05:11:42,positive
Ani Lestari,4,saya suka bisa dengar lagu sambil main apps lain tapi setelah 1 bulan suka ng pause sendiri gitu,2025-05-04 05:10:20,positive
Ardiansyah Pradana,5,👍🏻 Tapi iklannya dikurangi yaa,2025-05-04 05:10:20,positive
Eric Alfans,5,bagus,2025-05-04 05:08:19,positive
Kesya Tarigan,5,aplikasinya seru banget,2025-05-04 05:08:02,positive
Andini Maulidina,5,baguss bangettt,2025-05-04 05:06:40,positive
Aldah Ramdani,5,ok lah,2025-05-04 05:06:17,positive
Sunarto Cakto,5,👍👍👍👍👍,2025-05-04 05:02:57,positive
Rizgiansyah 99,5,sangat memuaskan,2025-05-04 04:46:45,positive
Muti Azza,5,sangatt bagusss dongg,2025-05-04 04:46:04,positive
Patimah Imah,5,sangat bagus,2025-05-04 04:37:33,positive
dfunkoe funk,5,𝐤𝐞𝐫𝐞𝐧 𝐛𝐚𝐧𝐠𝐞𝐭,2025-05-04 04:15:50,positive
Iris Romy,2,"apalah ni apk, maksa bat buat premium.",2025-05-04 04:01:18,negative
Cha noer,5,mantap,2025-05-04 03:55:20,positive
Abyasa Giezan,5,keren aplikasi musik terbaik,2025-05-04 03:50:09,positive
Aulia Caem,5,seru banyak lagu cuma tidak ada lagu pica pica di tanjung jadi saya pake lagu pica pica biasa saja ngapapa gak ada juga,2025-05-04 03:41:45,positive
Dewi Ayu,5,"sangat Bermanfaat,terimah kasih🤗😍",2025-05-04 03:37:19,positive
Muhammad Sultan Rasya,5,mantappppppppp👍🏻👍🏻👍🏻,2025-05-04 03:31:02,positive
Matahari Zahratushifah,5,enak bet,2025-05-04 03:29:28,positive
Bergita Melania,4,selalu update lagu terbaru 👍,2025-05-04 03:20:12,positive
yayan taufik ot,5,good music,2025-05-04 03:14:09,positive
Azizah Fasyihatunisa,5,"seru banget dengerin lagu di spotify semua lagu yg kamu cari ada di spotify bisa saat mengerjakan PR, kerja,atau beraktivitas Download sekarang juga!",2025-05-04 03:08:59,positive
Andhika surya,1,"liriknya hilangggggggg apalaaaaaa, benerin laaa",2025-05-04 03:05:41,negative
Nツ,4,minus nya di iklan yang lama bgt 😁tapi secara keseluruhan bagus bgt,2025-05-04 02:55:05,positive
fathimatuz zahro,5,waaww baguss,2025-05-04 02:53:51,positive
Dewi nurmayanti,5,memuaskan,2025-05-04 02:52:34,positive
Hania Ulvayaswina,5,bagus buat denger lagu,2025-05-04 02:51:25,positive
Veti Vera,2,gabisa setel lagu,2025-05-04 02:47:33,negative
Marvin Rozy,5,aplikasi musik terenak,2025-05-04 02:39:41,positive
Miftah Rihhadatulaisy,5,"aplikasi Spotify aplikasi terbagus untuk mendengarkan musik! , dari musik Indonesia sampai musik luar negeri ada semuanya",2025-05-04 02:32:40,positive
Gede Suasrika,5,bagus👍,2025-05-04 02:30:01,positive
fatmawati fepu,5,good,2025-05-04 02:29:15,positive
Alya Syifha,3,kurang seru karena sekarang saat dibagikan ke ig dia tidak bisa diletakkan di depan backgroundnya mohonnn kalii yaaa tolongg di perbaiki kaya seperti dulu,2025-05-04 02:28:44,neutral
Heru Iswanto,5,amazing app,2025-05-04 02:26:47,positive
alta Boy,5,sayang banyak lagu yang tidak masuk,2025-05-04 02:22:43,positive
Frans Pantung,5,saya pengen yang premium tapi gak bisa,2025-05-04 02:17:17,positive
Reza Nugraha,5,tolong dong ya di perbaiki lirik lagu nya tidak ada.,2025-05-04 02:07:44,positive
Dinda Stianinatasya,5,baguss apk nyaa,2025-05-04 02:03:52,positive
Dewi Atmasari,5,bagus baget aku bisa dengerin lagu old,2025-05-04 02:01:46,positive
Dewi Rahmawati,5,Masya allah... Ana suka banget.... Semoga nggk sering sering iklan selalu yaa.... Terima kasih atas semua layanan kalian... Alhamdulillah ana puas banget.... Syukran kasiraaan yaa ahli dunia...assalamualaikum,2025-05-04 01:46:29,positive
Cek,5,bagus,2025-05-04 01:39:09,positive
Devan Al fatir,5,Aku suka lagi FNUK🤩,2025-05-04 01:38:00,positive
Ichi Ici,5,enak dengerin nya apalagi sambil main game beh seruu,2025-05-04 01:37:35,positive
Diki Crp,5,keren banget,2025-05-04 01:32:22,positive
Mahardin Rachmita Gayatri,4,sering adakan paket hemat utk berlangganan,2025-05-04 01:28:50,positive
Enotea201,5,mantap n bagus.. sayang banyak iklan.y.. tolonglah d kurangi,2025-05-04 01:18:05,positive
Rifatul Fitria,5,bagus cuma nya banyak iklan nya klo ga premium,2025-05-04 01:06:25,positive
Khanza 01,5,bagus,2025-05-04 00:59:40,positive
Raihan Salsabila,5,sangat bagus lagunya,2025-05-04 00:55:42,positive
Jabal Adi Bagus,5,bisa cari semua lagu,2025-05-04 00:55:39,positive
Soka Wangi,5,ok,2025-05-04 00:54:25,positive
Domika Manalu,2,bagus,2025-05-04 00:52:54,negative
Dewi K,5,Keren,2025-05-04 00:38:11,positive
Sania Ramadani,5,bagus,2025-05-04 00:08:41,positive
Tetehalifia Alifia,5,SANGAT BAGUS SEKALI SAYA SUKA SEKALI,2025-05-04 00:07:20,positive
M. Razfa Alamsyah,5,dan yaaap,2025-05-04 00:07:03,positive
Rosyad Akbar,5,worth it bet dh,2025-05-03 23:40:45,positive
Kurni,5,Apps Spotify mantaap sangat bagus,2025-05-03 23:28:16,positive
Satriany Massiara,1,gk bs masuk aplikasi di hp Oppo A54s 🤔🤨,2025-05-03 23:21:00,negative
Kadek Winda,5,"sangat bagus untuk mendengarkan lagu,sambil bermain game",2025-05-03 23:14:37,positive
Yopi Kusumayadi,5,mantap dah pokonya,2025-05-03 23:09:21,positive
enyonglulibae luli,5,sangat bagus suka ada sportify menjadikan hari hari tak sepi lagi buat semangat hari,2025-05-03 22:48:24,positive
Top Up,3,kalo ngga premium kayak jadi member yg ga dianggep,2025-05-03 22:40:14,neutral
moh fauzan Moh Fauzan,5,saya suka,2025-05-03 22:21:54,positive
nasar udin,5,gooodddd,2025-05-03 22:13:45,positive
Raifel Karundeng,5,👍,2025-05-03 20:37:23,positive
andri nirwana,5,top mantap is the best,2025-05-03 20:20:42,positive
Stock Mexsi,1,apk sampah iklan ga ngotak tutup aja,2025-05-03 20:15:39,negative
Vino Bastian,5,sangat baik,2025-05-03 20:10:47,positive
Inayah Naya,5,bagus,2025-05-03 18:38:38,positive
Neng Mila,4,bgus tpi trlalu bnyk iklan,2025-05-03 18:25:19,positive
Asep Supriadi,5,bagus,2025-05-03 18:19:25,positive
Moyaku Hanasaki Mizumo,5,"Mantab banget, aku suka banget karena disini lengkap banget.. aku hampir setiap hari mendengar lagu anime lewat Spotify",2025-05-03 17:41:49,positive
Dennis Yong,5,sangat muda mencari lagu lagu kesukaan saya,2025-05-03 17:39:03,positive
Superehans,3,dikit dikit iklan,2025-05-03 17:20:12,neutral
Surya Yadi,5,apk nya sangat bagus cocok lah buat santai dengerin musik,2025-05-03 16:57:44,positive
Regy handika Pratama,1,"gw download spotify dari yang belum ada iklan sama sekali, dan sekarang makin gasuka karna baru buka 1 lagu udah iklan, ini sekarang juga belagu nya ini apk udah harus premium baru bisa dengerin semua lagu, fix uninstall sihh.",2025-05-03 16:52:37,negative
alpin reza,5,puas,2025-05-03 16:42:44,positive
michael jibriel,5,dapat mengenang masa muda perjalanan musik dunia... keren!!,2025-05-03 16:40:18,positive
noval mas,5,ini lagi nya bagus,2025-05-03 16:22:08,positive
Secret! Human,5,aplikasi nya sangat bagus dan banyak lagu lagu disana bahkan lagu yang baru tayang aja langsung udh ada tuh di Spotify emang deh aplikasi Spotify bagus banget tidak bosan saya mendengar lagu lagu yg ad di aplikasi in.setiap saya mau hapal lagu saya dari aplikasi in dan yang lebih enak nya lagi ad lirik nya enak banget deh aplikasi nya,2025-05-03 16:02:53,positive
zivi jyz,4,lama bet nginstal nya,2025-05-03 15:57:18,positive
rifqy fauzan,5,Nice,2025-05-03 15:28:29,positive
Keindra Achmad Wirajati,5,bagus,2025-05-03 15:25:36,positive
Sofiya Tiyani,5,good,2025-05-03 15:24:33,positive
Dinda Putri,1,ga suka sama Spotify sekarang. apa apa harus premium mau putar lgu aja harus random klo ga mau random harus premium. itu sama aja nguras harta orang lain. ga kasian apa? apk lain aja ga segitunya. cukup pake data aja klo premium itu harusnya cuma klo mau bisa offline dan bisa download bukannya gini. sorry gue ga suka Spotify sekarang.,2025-05-03 15:24:23,negative
mob zy,1,mangkin kemari mangkin konyol ni spotify pingin mutar lagu pertama yg mau di dengar aja harus prem dulu,2025-05-03 15:18:40,negative
michael rayhan,1,"IKLAN TERUS, GANGGU BANGET GAGUNA",2025-05-03 15:06:42,negative
Mohamad Rosdi Bin Rosli,5,bagus,2025-05-03 15:03:41,positive
Sera Rasella,3,"spotify burik anjir ngebug mulu kebanyakan iklan lagi, satu lagu tiga iklan bangkej, kalau buka aplikasi lain sambil denger lagu juga suka ilang, hampir semua aplikasi, lain kali di perbaiki lagi yh",2025-05-03 14:51:27,neutral
Ragil putra Ragil,5,"sering putar lagu nina, sangking galau nya",2025-05-03 14:50:46,positive
Zulkarnaen Juansah,5,ini disini semua ada tapi yg kurang kalo bisa oplen itu lebih baik sih sekarang harus beli tapi kalo di ulang bisa kalo lagi oplen jadi donlod deh ini sangat sepesal kalo kalian lagi sed dengerin lagu di seportifiay,2025-05-03 14:39:18,positive
Inu Aienun,5,keren,2025-05-03 14:35:13,positive
Badik Keren,5,bagus banyak lagu,2025-05-03 14:26:07,positive
Khaidir,5,mantap,2025-05-03 14:16:04,positive
Zahrah afifah Zafifah,4,ya bgs,2025-05-03 14:13:07,positive
YTTAril ONEsunaeni,1,kebanyakan premium udh tau g ada duit,2025-05-03 14:12:15,negative
Mastura Ijay,5,"bagus dan ada lirik yaaa,jadi bisa yanyi walaupun ga hapal lagu ya heehehehehe😁 dan itu aja yaaa😁",2025-05-03 14:04:58,positive
Pink Lilac,3,"kenapa sih spotify suka tiba2 mati, baru muter 1 ato 2 lagu tiba2 mati.. awalnya kirain karena spotify saya gak premium jadi suka tiba2 mati tapi pas saya udah pake premium juga tetep aja suka tiba2 mati sendiri, terus sekarang juga gak bisa play lewat notifikasi 😤",2025-05-03 13:59:21,neutral
Afsa Nisa,5,aplikasi nya pas aku pertama nyoba dengerin musik nya jadi ketagihan tapi ke ganggu dikit sama iklan nya tapi gpp 🫶,2025-05-03 13:56:08,positive
Amira Febriani,5,baguss,2025-05-03 13:54:09,positive
Muhammad Iqbal,5,aplikasinya bagus banget buat dengerin musik kesukaan saya,2025-05-03 13:33:53,positive
Samsung A20,5,"suka banget, semuanya lengkap,",2025-05-03 13:31:22,positive
asep dian,5,mantap,2025-05-03 13:23:30,positive
Bayu Tiyas,4,enakk polll mines nya selalu iklann,2025-05-03 13:18:21,positive
juniar adelia putri,2,"spotify tanggal 1 kemarin saya berlangganan premium yg 3 bulan seharga 54.990 ribu, tapi kenapa belum terupdate premium yah akun spotify sy? terus notif yang muncul di sms malah berlangganan 1 bulan spotify tapi tdk terupdate juga. tolong dong spotify uang saya rugi nihh hampir 70rb😭😭😭",2025-05-03 13:00:58,negative
Kuwatno Kuwatno,4,"Bagus, suara nya juga jelas, minusnya terkadang ga ada liriknya dan terjemahannya",2025-05-03 13:00:49,positive
Chat Noir,5,Aplikasinya the best banget! minusnya ini kok beberapa liriknya pada gabisa dibuka? Jadinya harus buka gugel trus search liriknya dong 😓😓,2025-05-03 13:00:23,positive
Muhidin Bolot,3,lumayan bagus,2025-05-03 12:59:37,neutral
Suryasmi,5,spoti,2025-05-03 12:59:11,positive
Eksa Yustio,5,"aplikasi ini sangat recommended pagi anak muda yang suka traveling, pokoknya lebih baik ya harus premium 🥰",2025-05-03 12:57:20,positive
Labib,5,"aku suka aplikasi ini bisa mendengar kan musik sambil bermain game dan membuat bermain game makin asik,dan juga fitur Spotify premium sangat membantu untuk mendengarkan musik tanpa internet",2025-05-03 12:54:44,positive
Rawrsxz,4,"pake penyimpanan tulisannya 14MB tapi habis di download malah jadi hampir 1 GB,,,yang bener aja lah jangan pake tipu ²padahal aplikasi nya udah bagus jadinya aku kasih 4 bintang aja,,, soalnya kasian yang penyimpanan nya sedikit 😅🙏",2025-05-03 12:49:28,positive
Yuda Bahagia,5,terlalu bagus untuk dibilang buruk,2025-05-03 12:48:11,positive
Asep Ramdani,5,sangat cocok untuk saat pikiran lagi kacau,2025-05-03 12:46:58,positive
Humaira Ok,5,bagus,2025-05-03 12:44:44,positive
Bbang Minnie,1,"Aneh banget ini kenapa ya beberapa lagu BTOB yang lama hilang tiba-tiba mana lagu-lagu yang aku suka. Kaget banget padahal biasa dengerinnya itu tiba-tiba tulisannya ""Lagu tidak tersedia""",2025-05-03 12:41:12,negative
Ahmad Ibrahim,5,sangat kerja bagus untuk ngepush CS,2025-05-03 12:35:01,positive
Denny Gultom,5,Spotify da best!!,2025-05-03 12:27:12,positive
Jeco ilham Ramadhan,5,SAYA SKENA 👊🏻😭😭😭😭,2025-05-03 12:25:05,positive
Ica Qaireen,5,aplikasinya bagus,2025-05-03 12:23:40,positive
Rudi Gunawan,5,lagu2 selalu ada saat diketik dr THN 60 an juga SDH ada lagunya,2025-05-03 12:20:41,positive
Nur fellys Meivirahmah,4,well.. apk nya bagus.. waktu gw buka koleksi.. itu ngelag nya minta ampun kocaq.. bukan masalah memo penuh atau bug hp.. uda gw coba ber ulang kali tpi ga bisa.. jadi tolong perbaiki bug nyaa plizz.. sukak bgt ama apk nya,2025-05-03 12:08:27,positive
Assyifa 0304,5,kita bisa mendengar lagu galau atau lagu lain nya,2025-05-03 12:08:17,positive
Azizah,5,"seru banget untuk dengarkan musik,",2025-05-03 12:05:53,positive
Ridho Muhammad,1,kntl dengerin musik doang disuruh memberi dislike,2025-05-03 12:05:08,negative
Rangga Nopal,5,mantap,2025-05-03 11:59:34,positive
Lia Kania,5,bagus,2025-05-03 11:57:50,positive
Diki Prastyo,5,aplikasi yang sangat bagus,2025-05-03 11:52:36,positive
Albert Walid,5,"halo rek,apk ini sangat bagus biasanya saya mendengar lonely",2025-05-03 11:49:45,positive
Yura Sofyan,5,lagu yang di temukan banyak,2025-05-03 11:40:57,positive
zahraaa,4,bagus,2025-05-03 11:40:15,positive
Irawan Fofoki,4,bagus,2025-05-03 11:39:14,positive
Sabia Farzana,5,enak banget,2025-05-03 11:33:46,positive
Zxfan,5,nice,2025-05-03 11:27:43,positive
Jayos Dika,5,bagus walaupun cuma bisa nyimpen 28 lagu,2025-05-03 11:26:34,positive
Faiz Gifullah,1,"lagi asik dengerin iklan, malah kepotong musik.",2025-05-03 11:20:54,negative
Indri Manyun,5,"sangat bagus, menyenangkan",2025-05-03 11:17:58,positive
Garnetha Echa Adinda Orrino,3,dikit dikit bayar woi la kebelet haji,2025-05-03 11:13:15,neutral
Ayudia Dara,5,Keren banget spotify,2025-05-03 11:12:50,positive
Rafly Rauf,1,gila ni aplikasi banyak bet error nya muali keluar sendiri mati sendiri padahal jaringan lagi bagus,2025-05-03 11:12:47,negative
Nanda Malonda,5,sangat bagus,2025-05-03 11:12:24,positive
Syaifuddin zuhri,5,dengerin musik sambil main epep seru bgt,2025-05-03 11:06:02,positive
